what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1458237499343
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1458237499343
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1458237499344
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1458237499344
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1458237499344
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1458237499344
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1458237499344
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1458237499344
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1458237499344
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1458237499344
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1458237499344
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1458237499344
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1458237499344
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1458237499344
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1458237499344
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1458237499344
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1458237499345
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1458237499345
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1458237499345
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1458237499345
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1458237499345
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1458237499345
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1458237499346
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1458237499346
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1458237499346
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1458237499347
started,bundle,org.tigris.subversion.clientadapter,1.8.6,"org.tigris.subversion.clientadapter",1458237499347
os,sysinfo,,,"win32",1458237499352
arch,sysinfo,,,"x86_64",1458237499352
ws,sysinfo,,,"win32",1458237499352
locale,sysinfo,,,"cs_CZ",1458237499352
processors,sysinfo,,,"4",1458237499352
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1458237499352
java.runtime.version,sysinfo,,,"1.8.0_73-b02",1458237499352
java.specification.name,sysinfo,,,"Java Platform API Specification",1458237499352
java.specification.vendor,sysinfo,,,"Oracle Corporation",1458237499352
java.specification.version,sysinfo,,,"1.8",1458237499352
java.vendor,sysinfo,,,"Oracle Corporation",1458237499352
java.version,sysinfo,,,"1.8.0_73",1458237499352
java.vm.info,sysinfo,,,"mixed mode",1458237499352
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1458237499352
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458237499352
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1458237499352
java.vm.specification.version,sysinfo,,,"1.8",1458237499352
java.vm.vendor,sysinfo,,,"Oracle Corporation",1458237499352
java.vm.version,sysinfo,,,"25.73-b02",1458237499352
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1458237499355
started,bundle,com.collabnet.subversion.merge,3.0.13,"com.collabnet.subversion.merge",1458237499376
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1458237499422
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1458237499423
started,bundle,org.tigris.subversion.subclipse.ui,1.8.21,"org.tigris.subversion.subclipse.ui",1458237499452
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1458237499467
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1458237499482
